[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.725392	0.098500	0.011083	0.019625	3.224218	0.255499	0.213543	0.227438	0.202870	0.217345	0.203177	0.210112	0.194025	0.210383	0.208795	0.208013	0.201780	0.201046	0.194375	0.203967	0.203868	0.196414	0.225674	0.304001	0.335612	0.079405	0.176983	0.035497
0.740019	0.098417	0.010833	0.019375	3.223620	0.255094	0.213325	0.227302	0.202758	0.217281	0.203164	0.210102	0.194023	0.210378	0.208792	0.208010	0.201775	0.201044	0.194375	0.203961	0.203866	0.196406	0.225664	0.303980	0.335589	0.079407	0.176978	0.035534
0.754448	0.098667	0.011167	0.019250	3.222842	0.254783	0.213056	0.227204	0.202699	0.217226	0.203158	0.210094	0.194020	0.210375	0.208789	0.208006	0.201771	0.201042	0.194376	0.203955	0.203865	0.196400	0.225652	0.303955	0.335570	0.079408	0.176974	0.035559
0.769106	0.098583	0.011042	0.019333	3.221941	0.254623	0.212695	0.227134	0.202690	0.217194	0.203168	0.210091	0.194020	0.210373	0.208784	0.208003	0.201767	0.201039	0.194378	0.203951	0.203863	0.196395	0.225639	0.303920	0.335542	0.079407	0.176969	0.035572
0.783567	0.098500	0.010750	0.019417	3.221591	0.254754	0.212564	0.227259	0.202755	0.217208	0.203191	0.210091	0.194024	0.210374	0.208783	0.208001	0.201766	0.201038	0.194382	0.203949	0.203863	0.196400	0.225637	0.303900	0.335549	0.079405	0.176962	0.035575
0.798127	0.098500	0.011167	0.019667	3.221558	0.254962	0.212765	0.227559	0.202829	0.217249	0.203207	0.210091	0.194034	0.210378	0.208784	0.208003	0.201770	0.201038	0.194388	0.203949	0.203863	0.196412	0.225640	0.303891	0.335579	0.079405	0.176956	0.035571
0.812917	0.098667	0.011167	0.019750	3.221975	0.255146	0.213191	0.228024	0.202939	0.217302	0.203212	0.210096	0.194051	0.210382	0.208789	0.208006	0.201774	0.201042	0.194393	0.203951	0.203865	0.196415	0.225644	0.303891	0.335633	0.079403	0.176953	0.035560
0.827183	0.098667	0.011000	0.019583	3.222505	0.255321	0.213546	0.228372	0.203072	0.217352	0.203212	0.210104	0.194067	0.210387	0.208790	0.208005	0.201777	0.201047	0.194393	0.203948	0.203871	0.196404	0.225647	0.303882	0.335671	0.079402	0.176953	0.035546
0.841904	0.098583	0.011042	0.019417	3.222308	0.255357	0.213489	0.228476	0.203184	0.217371	0.203201	0.210111	0.194074	0.210393	0.208789	0.208004	0.201777	0.201052	0.194391	0.203945	0.203880	0.196392	0.225645	0.303878	0.335689	0.079401	0.176955	0.035526
0.856498	0.098333	0.011083	0.019167	3.221874	0.255061	0.213179	0.228311	0.203121	0.217331	0.203187	0.210109	0.194066	0.210394	0.208787	0.208005	0.201776	0.201052	0.194389	0.203943	0.203881	0.196384	0.225638	0.303872	0.335681	0.079400	0.176959	0.035505
0.870731	0.098667	0.010917	0.019375	3.221712	0.254758	0.212990	0.228218	0.203034	0.217278	0.203178	0.210101	0.194057	0.210389	0.208785	0.208008	0.201777	0.201050	0.194389	0.203944	0.203879	0.196383	0.225633	0.303883	0.335675	0.079398	0.176961	0.035483
0.885685	0.098667	0.011000	0.019000	3.222034	0.254719	0.213059	0.228327	0.202982	0.217230	0.203181	0.210092	0.194046	0.210384	0.208784	0.208013	0.201781	0.201046	0.194389	0.203944	0.203878	0.196386	0.225634	0.303907	0.335687	0.079396	0.176964	0.035458
0.900146	0.098625	0.011000	0.019250	3.222090	0.254905	0.213181	0.228262	0.202915	0.217173	0.203187	0.210086	0.194037	0.210382	0.208782	0.208013	0.201783	0.201043	0.194388	0.203943	0.203876	0.196392	0.225639	0.303926	0.335683	0.079395	0.176967	0.035434
0.914608	0.098667	0.011083	0.019500	3.221628	0.254908	0.213183	0.228098	0.202823	0.217150	0.203195	0.210088	0.194030	0.210383	0.208784	0.208013	0.201784	0.201040	0.194387	0.203942	0.203872	0.196397	0.225640	0.303929	0.335664	0.079394	0.176969	0.035411
0.929298	0.098500	0.011250	0.019333	3.221372	0.254882	0.213131	0.228041	0.202760	0.217180	0.203205	0.210098	0.194026	0.210385	0.208790	0.208017	0.201786	0.201039	0.194387	0.203945	0.203870	0.196406	0.225648	0.303942	0.335665	0.079393	0.176972	0.035385
0.943729	0.098583	0.011000	0.019083	3.221692	0.254962	0.213140	0.228160	0.202727	0.217232	0.203196	0.210104	0.194020	0.210385	0.208791	0.208018	0.201786	0.201036	0.194385	0.203947	0.203867	0.196409	0.225658	0.303956	0.335674	0.079393	0.176974	0.035359
