[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.903475	0.098583	0.010833	0.019667	3.221071	0.255629	0.212300	0.228321	0.202740	0.217125	0.203197	0.210103	0.194017	0.210390	0.208782	0.208019	0.201758	0.201028	0.194376	0.203927	0.203876	0.196411	0.225585	0.303587	0.336322	0.079440	0.177055	0.038128
0.918135	0.098708	0.011333	0.019667	3.220577	0.255433	0.212618	0.228054	0.202680	0.217115	0.203186	0.210098	0.194013	0.210394	0.208782	0.208020	0.201757	0.201031	0.194375	0.203930	0.203871	0.196423	0.225576	0.303602	0.336318	0.079441	0.177049	0.038165
0.943935	0.098667	0.011250	0.019417	3.221042	0.255821	0.212956	0.228078	0.202711	0.217143	0.203174	0.210106	0.194014	0.210394	0.208785	0.208023	0.201758	0.201036	0.194378	0.203936	0.203868	0.196426	0.225568	0.303612	0.336306	0.079442	0.177042	0.038243
0.965452	0.098500	0.011083	0.019625	3.221281	0.256064	0.212824	0.228237	0.202760	0.217175	0.203157	0.210129	0.194014	0.210394	0.208791	0.208026	0.201758	0.201042	0.194383	0.203941	0.203869	0.196424	0.225570	0.303648	0.336284	0.079441	0.177040	0.038305
0.979719	0.098750	0.011250	0.019667	3.221169	0.255994	0.212644	0.228254	0.202776	0.217176	0.203143	0.210144	0.194011	0.210393	0.208793	0.208024	0.201757	0.201041	0.194387	0.203939	0.203871	0.196422	0.225574	0.303695	0.336266	0.079439	0.177043	0.038334
0.994637	0.099333	0.011167	0.019583	3.220955	0.255908	0.212545	0.228120	0.202779	0.217152	0.203132	0.210141	0.194007	0.210392	0.208793	0.208020	0.201757	0.201038	0.194386	0.203937	0.203870	0.196417	0.225575	0.303699	0.336247	0.079440	0.177054	0.038356
1.009100	0.100958	0.011083	0.019417	3.220343	0.255552	0.212413	0.227903	0.202742	0.217124	0.203118	0.210124	0.194001	0.210389	0.208790	0.208015	0.201755	0.201034	0.194380	0.203938	0.203866	0.196412	0.225575	0.303669	0.336232	0.079440	0.177103	0.038368
1.023561	0.104208	0.011208	0.019333	3.219422	0.255154	0.212312	0.227727	0.202680	0.217092	0.203108	0.210107	0.193998	0.210385	0.208787	0.208011	0.201753	0.201032	0.194376	0.203938	0.203862	0.196409	0.225573	0.303654	0.336230	0.079439	0.177264	0.038371
1.038221	0.109250	0.011333	0.019583	3.219081	0.254893	0.212307	0.227722	0.202631	0.217078	0.203107	0.210097	0.193999	0.210381	0.208786	0.208011	0.201752	0.201031	0.194375	0.203936	0.203860	0.196407	0.225576	0.303672	0.336239	0.079440	0.177737	0.038367
1.052715	0.116667	0.011000	0.019500	3.219823	0.254844	0.212314	0.227731	0.202632	0.217067	0.203118	0.210091	0.194006	0.210379	0.208787	0.208010	0.201755	0.201031	0.194375	0.203934	0.203859	0.196405	0.225590	0.303681	0.336249	0.079441	0.178797	0.038360
1.067306	0.125500	0.010833	0.019375	3.220726	0.254802	0.212303	0.227670	0.202667	0.217075	0.203132	0.210085	0.194014	0.210380	0.208787	0.208008	0.201758	0.201031	0.194373	0.203932	0.203860	0.196403	0.225598	0.303659	0.336245	0.079443	0.180845	0.038347
1.081800	0.134667	0.011167	0.019583	3.221373	0.254703	0.212355	0.227614	0.202676	0.217091	0.203147	0.210081	0.194020	0.210378	0.208785	0.208004	0.201760	0.201031	0.194373	0.203932	0.203861	0.196402	0.225598	0.303640	0.336234	0.079443	0.184036	0.038335
1.096360	0.143333	0.010667	0.019625	3.222560	0.254803	0.212448	0.227565	0.202672	0.217136	0.203158	0.210087	0.194027	0.210382	0.208788	0.208006	0.201763	0.201033	0.194376	0.203932	0.203863	0.196400	0.225600	0.303636	0.336228	0.079444	0.188754	0.038322
1.111083	0.151667	0.011167	0.019500	3.224025	0.255124	0.212527	0.227557	0.202672	0.217199	0.203166	0.210114	0.194044	0.210395	0.208798	0.208012	0.201771	0.201038	0.194383	0.203940	0.203871	0.196403	0.225615	0.303653	0.336253	0.079445	0.195034	0.038308
1.125450	0.158083	0.011333	0.019417	3.225223	0.255688	0.212573	0.227673	0.202716	0.217333	0.203205	0.210177	0.194078	0.210430	0.208826	0.208033	0.201794	0.201056	0.194399	0.203958	0.203888	0.196422	0.225646	0.303691	0.336303	0.079446	0.201888	0.038291
1.140104	0.163792	0.011083	0.019458	3.226785	0.256653	0.212790	0.228118	0.202880	0.217718	0.203338	0.210352	0.194148	0.210541	0.208892	0.208103	0.201850	0.201112	0.194457	0.204018	0.203941	0.196484	0.225724	0.303804	0.336445	0.079447	0.209812	0.038273
1.154798	0.167792	0.011208	0.019750	3.229174	0.257924	0.213430	0.229076	0.203424	0.218364	0.203641	0.210713	0.194312	0.210770	0.209035	0.208240	0.201946	0.201214	0.194561	0.204123	0.204052	0.196646	0.225877	0.304058	0.336756	0.079449	0.218606	0.038256
1.168931	0.171792	0.011458	0.019625	3.233047	0.260070	0.214599	0.230687	0.204249	0.219363	0.204172	0.211233	0.194621	0.211146	0.209269	0.208476	0.202112	0.201381	0.194726	0.204299	0.204226	0.196848	0.226086	0.304412	0.337256	0.079452	0.226866	0.038240
1.183950	0.175292	0.011667	0.019333	3.243198	0.264724	0.217459	0.234316	0.205788	0.221457	0.205315	0.212329	0.195255	0.211915	0.209736	0.208890	0.202474	0.201742	0.195045	0.204686	0.204609	0.197346	0.226506	0.305293	0.338220	0.079460	0.235782	0.038225
1.198348	0.178125	0.012792	0.019333	3.265359	0.272132	0.225033	0.239724	0.208827	0.225559	0.207007	0.214154	0.196098	0.212730	0.210353	0.209496	0.202900	0.202243	0.195414	0.205226	0.205061	0.198088	0.227047	0.306439	0.339742	0.079476	0.244116	0.038212
1.212746	0.180500	0.014875	0.019500	3.293256	0.281768	0.235507	0.246843	0.212809	0.231327	0.209408	0.216546	0.197158	0.213937	0.211191	0.210320	0.203448	0.202925	0.196003	0.205944	0.205617	0.198929	0.227856	0.307749	0.342021	0.079526	0.252153	0.038201
1.227529	0.183208	0.020000	0.020250	3.324185	0.294199	0.248931	0.257951	0.219273	0.239079	0.213186	0.220229	0.199041	0.216400	0.212583	0.211505	0.204419	0.203962	0.196950	0.207051	0.206523	0.200190	0.228971	0.309471	0.344790	0.079674	0.260005	0.038190
1.241994	0.185542	0.027667	0.021167	3.355771	0.307710	0.264344	0.271047	0.227869	0.246205	0.217249	0.223771	0.201198	0.218816	0.214078	0.212848	0.205464	0.204990	0.198019	0.208185	0.207603	0.201507	0.230255	0.311352	0.347524	0.080047	0.267205	0.038180
