[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.213075	0.099833	0.016167	0.419500	4.345716	0.263866	0.213814	0.229294	0.204001	0.219210	0.204432	0.211717	0.195342	0.211767	0.209779	0.209059	0.202876	0.202293	0.195905	0.205545	0.205418	0.199718	0.231884	0.323569	0.373759	0.084232	0.182155	0.013295	2.059690	1.093000	34.990002	97.682930
0.216450	0.099833	0.015667	0.422667	4.345721	0.263860	0.213813	0.229293	0.203999	0.219209	0.204431	0.211716	0.195341	0.211767	0.209779	0.209059	0.202876	0.202293	0.195905	0.205545	0.205418	0.199718	0.231882	0.323568	0.373762	0.084236	0.182110	0.013600	2.059691	1.071000	35.000000	97.642273
0.219958	0.099833	0.015833	0.425500	4.345722	0.263857	0.213810	0.229293	0.203999	0.219209	0.204431	0.211716	0.195340	0.211766	0.209778	0.209058	0.202875	0.202293	0.195904	0.205545	0.205417	0.199718	0.231881	0.323567	0.373763	0.084243	0.182087	0.013745	2.059691	1.040000	35.000000	97.723579
0.223475	0.099833	0.016000	0.429167	4.345721	0.263851	0.213810	0.229292	0.203998	0.219207	0.204430	0.211716	0.195340	0.211766	0.209778	0.209057	0.202875	0.202293	0.195904	0.205545	0.205416	0.199717	0.231880	0.323566	0.373765	0.084247	0.182065	0.013885	2.059691	1.035000	35.000000	97.723579
0.227892	0.099833	0.015833	0.431833	4.345717	0.263846	0.213807	0.229291	0.203996	0.219205	0.204429	0.211715	0.195338	0.211766	0.209777	0.209057	0.202875	0.202292	0.195903	0.205544	0.205415	0.199717	0.231878	0.323563	0.373768	0.084255	0.182013	0.014211	2.059691	1.029000	34.995003	97.764229
0.231400	0.099833	0.015833	0.435000	4.345716	0.263841	0.213807	0.229291	0.203996	0.219205	0.204428	0.211714	0.195338	0.211766	0.209777	0.209057	0.202874	0.202292	0.195903	0.205544	0.205415	0.199717	0.231876	0.323563	0.373770	0.084258	0.181983	0.014390	2.059692	1.019000	35.000000	97.743904
0.234908	0.099833	0.015833	0.437500	4.345715	0.263839	0.213805	0.229291	0.203995	0.219204	0.204428	0.211713	0.195337	0.211766	0.209777	0.209056	0.202874	0.202292	0.195903	0.205544	0.205414	0.199717	0.231876	0.323563	0.373774	0.084262	0.181953	0.014563	2.059692	1.010000	35.000000	97.743904
0.238292	0.099833	0.015833	0.439167	4.345714	0.263835	0.213804	0.229291	0.203994	0.219204	0.204427	0.211713	0.195336	0.211766	0.209777	0.209056	0.202873	0.202292	0.195903	0.205544	0.205414	0.199717	0.231875	0.323561	0.373775	0.084266	0.181925	0.014722	2.059692	0.992000	35.000000	97.764229
0.241800	0.099667	0.016000	0.440333	4.345714	0.263832	0.213804	0.229291	0.203993	0.219203	0.204427	0.211712	0.195336	0.211765	0.209777	0.209056	0.202873	0.202292	0.195903	0.205544	0.205414	0.199717	0.231873	0.323561	0.373777	0.084270	0.181897	0.014875	2.059693	0.958000	34.995003	97.764229
0.245442	0.099667	0.016000	0.441000	4.345717	0.263830	0.213804	0.229291	0.203993	0.219203	0.204427	0.211712	0.195336	0.211765	0.209776	0.209056	0.202873	0.202292	0.195903	0.205544	0.205413	0.199717	0.231873	0.323560	0.373781	0.084275	0.181879	0.014970	2.059693	0.946000	34.990002	97.743904
0.248950	0.099667	0.015833	0.442667	4.345725	0.263826	0.213804	0.229291	0.203993	0.219203	0.204427	0.211711	0.195336	0.211765	0.209776	0.209056	0.202873	0.202292	0.195903	0.205544	0.205413	0.199717	0.231871	0.323559	0.373783	0.084278	0.181852	0.015102	2.059693	0.928000	34.995003	97.764229
0.253367	0.099667	0.016000	0.445333	4.345767	0.263823	0.213804	0.229292	0.203993	0.219203	0.204427	0.211710	0.195335	0.211765	0.209776	0.209055	0.202874	0.202292	0.195903	0.205544	0.205413	0.199717	0.231870	0.323558	0.373788	0.084286	0.181819	0.015270	2.059694	0.918000	35.000000	97.804878
0.256875	0.100000	0.016000	0.447333	4.345804	0.263821	0.213805	0.229293	0.203993	0.219203	0.204427	0.211710	0.195335	0.211765	0.209776	0.209055	0.202875	0.202293	0.195903	0.205544	0.205413	0.199717	0.231870	0.323557	0.373790	0.084290	0.181786	0.015422	2.059694	0.916000	35.000000	97.723579
